nNoBorne,sStatut,sNomRue,sZoneGroupeCode,nLongitude,nLatitude,sTypeExploitation
10772,A,Notre-Dame,K-M-N-P,-73.556137954344322000,45.505691380699510000,Régulier Payez-Partez
10774,A,Notre-Dame,M-N-P-Q,-73.555121312084864000,45.506768890696023000,Régulier Payez-Partez
10776,A,Notre-Dame,M-N-P-Q,-73.554140350811679000,45.507983735748780000,Régulier Payez-Partez
10777,A,Brésoles,K-M-N-P,-73.555632423364898000,45.504725073370508000,Régulier Payez-Partez
10778,A,Pins,B-E-PA-R,-73.580885491409717000,45.505919891252887000,Régulier Payez-Partez
10780,A,Ontario,Q-S-W-Y,-73.564071332425513000,45.518099021408986000,Régulier Payez-Partez
10781,A,Saint-Paul,K-M-N-P,-73.554746849519333000,45.503919377027749000,Régulier Payez-Partez
10782,A,Saint-Paul,K-M-N-P,-73.554287874582300000,45.504912888624027000,Régulier Payez-Partez
10786,A,Youville (Place),K-M-N-P,-73.555160233281228000,45.501151845644301000,Régulier Payez-Partez
10787,A,Youville (Place),K-M-N-P,-73.554635257282285000,45.502071497792805000,Régulier Payez-Partez
10788,A,Youville (Place),K-M-N-P,-73.554668019287234000,45.502634555963894000,Régulier Payez-Partez
10790,A,Le Moyne,K-M-N-P,-73.556759717251396000,45.501648751908625000,Régulier Payez-Partez
10791,A,Saint-Nicolas,K-M-N-P,-73.556194536409777000,45.502181603545935000,Régulier Payez-Partez
10793,A,Saint-Nicolas,K-M-N-P,-73.555249217709303000,45.502014009079929000,Régulier Payez-Partez
10795,A,Marie-Morin (Saint-Dizier),K-M-N-P,-73.554930913917957000,45.505481696076359000,Régulier Payez-Partez
10799,A,Saint-Laurent,K-M-N-P,-73.556068539649715000,45.506260912015421000,Régulier Payez-Partez
10801,A,Saint-Laurent,M-N-P-Q,-73.556742084823441000,45.506755193009589000,Régulier Payez-Partez
10802,A,Saint-Laurent,K-M-N-P,-73.555179063434736000,45.505930507803519000,Régulier Payez-Partez
10803,A,Saint-Laurent,M-N-P-Q,-73.554247333898275000,45.505781489644129000,Régulier Payez-Partez
10806,A,Saint-Gabriel,M-N-P-Q,-73.554352037520076000,45.506760104916410000,Régulier Payez-Partez
10815,A,Ontario,Q-S-W-Y,-73.562637561347245000,45.520501960555720000,Régulier Payez-Partez
10818,A,Ontario,Q-S-W-Y,-73.561413082208830000,45.522566118904265000,Régulier Payez-Partez
10819,A,Ontario,Q-S-W-Y,-73.560889048578389000,45.523410947191834000,Régulier Payez-Partez
10821,A,Ontario,Q-S-W-Y,-73.560158414676977000,45.524543086671059000,Régulier Payez-Partez
10822,A,Ontario,Q-S-W-Y,-73.559581320009229000,45.525449106546858000,Régulier Payez-Partez
10825,A,Ontario,PC-PD-S-W,-73.562518184404340000,45.521046408519240000,Régulier Payez-Partez
10827,A,Ontario,PC-PD-S-W,-73.562130464525666000,45.521731156361561000,Régulier Payez-Partez
10829,A,Ontario,PC-PD-S-W,-73.561301578120705000,45.523086709021406000,Régulier Payez-Partez
10830,A,Ontario,PC-PD-S-W,-73.560594163733882000,45.524191272341348000,Régulier Payez-Partez
10833,A,Ontario,G-PC-S-W,-73.563834398227058000,45.518793191396441000,Régulier Payez-Partez
10834,A,Maisonneuve,Q-S-W-Y,-73.559259124489515000,45.517433334333262000,Régulier Payez-Partez
10837,A,Maisonneuve,Q-S-W-Y,-73.558070847473331000,45.518766161287282000,Régulier Payez-Partez
10847,A,Sainte-Catherine,Q-S-W-Y,-73.557297086050852000,45.517337440578757000,Régulier Payez-Partez
10848,A,Sainte-Catherine,Q-S-W-Y,-73.556447859753717000,45.518260656365570000,Régulier Payez-Partez
10850,A,Sainte-Catherine,Q-S-W-Y,-73.555553913477439000,45.519227062462285000,Régulier Payez-Partez
10851,A,Sainte-Catherine,Q-S-W-Y,-73.555122061941731000,45.519690622130263000,Régulier Payez-Partez
10854,A,Sainte-Catherine,Q-S-W-Y,-73.553619348095921000,45.521320620768797000,Régulier Payez-Partez
